"","benchmark","class","run","timeBudget","tool","score"
"125","FESCAR-32","com.alibaba.fescar.core.protocol.transaction.BranchRegisterRequest",2,60,"evosuite",6.68185624
"126","FESCAR-33","com.alibaba.fescar.core.model.GlobalStatus",2,60,"evosuite",7
"127","FESCAR-34","com.alibaba.fescar.core.protocol.ResultCode",2,60,"evosuite",0
"128","FESCAR-37","com.alibaba.fescar.core.rpc.RpcContext",2,60,"evosuite",2.77033795
"129","FESCAR-41","com.alibaba.fescar.core.rpc.netty.RmRpcClient",2,60,"evosuite",0
"130","FESCAR-42","com.alibaba.fescar.core.rpc.DefaultServerMessageListenerImpl",2,60,"evosuite",0.930479728284288
"131","SPOON-105","spoon.support.compiler.jdt.PositionBuilder",2,60,"evosuite",0.28836436
"132","SPOON-155","spoon.reflect.visitor.filter.AllMethodsSameSignatureFunction",2,60,"evosuite",0.17910448
"133","SPOON-169","spoon.reflect.visitor.ImportScannerImpl",2,60,"evosuite",0
"134","SPOON-16","spoon.reflect.path.CtElementPathBuilder",2,60,"evosuite",0.44219067
"135","SPOON-20","spoon.support.reflect.reference.CtLocalVariableReferenceImpl",2,60,"evosuite",0
"136","SPOON-211","spoon.reflect.path.impl.CtRolePathElement",2,60,"evosuite",0.35723598
"137","SPOON-253","spoon.pattern.internal.parameter.MapParameterInfo",2,60,"evosuite",2.8399123
"138","SPOON-25","spoon.pattern.internal.ValueConvertorImpl",2,60,"evosuite",0.109873574211239
"139","SPOON-32","spoon.MavenLauncher",2,60,"evosuite",0.8166667
"140","SPOON-65","spoon.support.DefaultCoreFactory",2,60,"evosuite",0.10730594
"141","GUAVA-2","com.google.common.collect.MinMaxPriorityQueue",3,60,"evosuite",0.05110063
"142","GUAVA-22","com.google.common.graph.Graphs",3,60,"evosuite",2.2200435
"143","GUAVA-39","com.google.common.collect.TreeMultiset",3,60,"evosuite",0
"144","GUAVA-47","com.google.common.collect.FilteredEntryMultimap",3,60,"evosuite",0
"145","GUAVA-90","com.google.common.io.FileBackedOutputStream",3,60,"evosuite",7
"146","GUAVA-95","com.google.common.collect.ComparatorOrdering",3,60,"evosuite",0.25
"147","GUAVA-102","com.google.common.collect.LinkedListMultimap",3,60,"evosuite",0.56960953
"148","GUAVA-110","com.google.common.collect.LexicographicalOrdering",3,60,"evosuite",0
"149","GUAVA-128","com.google.common.base.Throwables",3,60,"evosuite",6.13092302
"150","GUAVA-129","com.google.common.collect.SparseImmutableTable",3,60,"evosuite",0
"151","GUAVA-159","com.google.common.primitives.ParseRequest",3,60,"evosuite",5
"152","GUAVA-169","com.google.common.math.LongMath",3,60,"evosuite",6.8155768
"153","GUAVA-177","com.google.common.primitives.Doubles",3,60,"evosuite",6.9462864
"154","GUAVA-181","com.google.common.primitives.SignedBytes",3,60,"evosuite",7
"155","GUAVA-184","com.google.thirdparty.publicsuffix.PublicSuffixType",3,60,"evosuite",7
"156","GUAVA-196","com.google.common.io.Closeables",3,60,"evosuite",6.8
"157","GUAVA-206","com.google.common.collect.ImmutableEnumSet",3,60,"evosuite",1.59307362
"158","GUAVA-212","com.google.common.net.MediaType",3,60,"evosuite",2.5241721
"159","GUAVA-224","com.google.common.primitives.UnsignedLongs",3,60,"evosuite",7
"160","GUAVA-240","com.google.common.collect.FilteredMultimapValues",3,60,"evosuite",0.26923079
"161","PDFBOX-8","org.apache.pdfbox.pdmodel.font.FileSystemFontProvider",3,60,"evosuite",3.3060522
"162","PDFBOX-22","org.apache.pdfbox.pdmodel.fdf.FDFAnnotationCaret",3,60,"evosuite",1.9246031
"163","PDFBOX-26","org.apache.pdfbox.pdmodel.encryption.SecurityProvider",3,60,"evosuite",6.47368423
"164","PDFBOX-40","org.apache.pdfbox.pdmodel.font.PDCIDFontType2",3,60,"evosuite",1.90728342
"165","PDFBOX-62","org.apache.pdfbox.rendering.PageDrawer",3,60,"evosuite",0.0255336321633948
"166","PDFBOX-83","org.apache.pdfbox.contentstream.operator.text.SetTextRenderingMode",3,60,"evosuite",6.3571429
"167","PDFBOX-91","org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf.PDArtifactMarkedContent",3,60,"evosuite",1.2894737
"168","PDFBOX-117","org.apache.pdfbox.filter.Predictor",3,60,"evosuite",2.59196296
"169","PDFBOX-127","org.apache.pdfbox.pdfparser.PDFObjectStreamParser",3,60,"evosuite",1.33928574
"170","PDFBOX-130","org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSignDesigner",3,60,"evosuite",0.81885059
"171","PDFBOX-157","org.apache.pdfbox.pdmodel.font.PDType1Font",3,60,"evosuite",0
"172","PDFBOX-198","org.apache.pdfbox.pdmodel.fdf.FDFAnnotationLine",3,60,"evosuite",1.3252033
"173","PDFBOX-214","org.apache.pdfbox.pdfparser.EndstreamOutputStream",3,60,"evosuite",5.2727272
"174","PDFBOX-220","org.apache.pdfbox.filter.JPXFilter",3,60,"evosuite",0.48111888
"175","PDFBOX-229","org.apache.pdfbox.util.XMLUtil",3,60,"evosuite",2.7914286
"176","PDFBOX-234","org.apache.pdfbox.pdmodel.interactive.action.PDActionSound",3,60,"evosuite",2.75452196
"177","PDFBOX-235","org.apache.pdfbox.pdmodel.font.PDTrueTypeFontEmbedder",3,60,"evosuite",0
"178","PDFBOX-265","org.apache.pdfbox.pdmodel.font.PDType3Font",3,60,"evosuite",1.4548611
"179","PDFBOX-278","org.apache.pdfbox.pdfwriter.ContentStreamWriter",3,60,"evosuite",2.90735924
"180","PDFBOX-285","org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSignature",3,60,"evosuite",2.61438568
"181","FESCAR-2","com.alibaba.fescar.core.service.ServiceManagerStaticConfigImpl",3,60,"evosuite",0.2631579
"182","FESCAR-5","com.alibaba.fescar.core.protocol.MessageFuture",3,60,"evosuite",7
"183","FESCAR-6","com.alibaba.fescar.core.rpc.netty.TmRpcClient",3,60,"evosuite",0
"184","FESCAR-7","com.alibaba.fescar.core.rpc.netty.MessageCodecHandler",3,60,"evosuite",2.17165994210526
"185","FESCAR-8","com.alibaba.fescar.core.rpc.netty.NettyPoolableFactory",3,60,"evosuite",1.13745121536912
"186","FESCAR-9","com.alibaba.fescar.core.protocol.transaction.GlobalBeginRequest",3,60,"evosuite",7
"187","FESCAR-10","com.alibaba.fescar.core.model.BranchType",3,60,"evosuite",7
"188","FESCAR-12","com.alibaba.fescar.core.rpc.netty.RpcServerHandler",3,60,"evosuite",6.75
"189","FESCAR-13","com.alibaba.fescar.core.exception.TransactionExceptionCode",3,60,"evosuite",7
"190","FESCAR-15","com.alibaba.fescar.core.rpc.netty.RpcServer",3,60,"evosuite",0.00809752630279081
"191","FESCAR-17","com.alibaba.fescar.core.protocol.transaction.GlobalBeginResponse",3,60,"evosuite",7
"192","FESCAR-23","com.alibaba.fescar.core.protocol.MergeResultMessage",3,60,"evosuite",2.4761905
"193","FESCAR-25","com.alibaba.fescar.core.rpc.netty.RmMessageListener",3,60,"evosuite",2.24874076603922
"194","FESCAR-28","com.alibaba.fescar.core.rpc.ClientType",3,60,"evosuite",7
"195","FESCAR-32","com.alibaba.fescar.core.protocol.transaction.BranchRegisterRequest",3,60,"evosuite",6.68185624
"196","FESCAR-33","com.alibaba.fescar.core.model.GlobalStatus",3,60,"evosuite",7
"197","FESCAR-34","com.alibaba.fescar.core.protocol.ResultCode",3,60,"evosuite",7
"198","FESCAR-37","com.alibaba.fescar.core.rpc.RpcContext",3,60,"evosuite",2.5725907
"199","FESCAR-41","com.alibaba.fescar.core.rpc.netty.RmRpcClient",3,60,"evosuite",0
"200","FESCAR-42","com.alibaba.fescar.core.rpc.DefaultServerMessageListenerImpl",3,60,"evosuite",0.85753704723776
"201","SPOON-105","spoon.support.compiler.jdt.PositionBuilder",3,60,"evosuite",0
