"","benchmark","class","tool","budget","config","score.mean","score.sd"
"51","GUAVA-177","com.google.common.primitives.Doubles","randoop",60,"GUAVA-177_com.google.common.primitives.Doubles_60",6.49426661325554,0.0269247681053656
"52","GUAVA-177","com.google.common.primitives.Doubles","randoop",180,"GUAVA-177_com.google.common.primitives.Doubles_180",6.62697930655408,0.0511459639373232
"53","GUAVA-181","com.google.common.primitives.SignedBytes","evosuite",60,"GUAVA-181_com.google.common.primitives.SignedBytes_60",6.99772727272727,0.00718699468220079
"54","GUAVA-181","com.google.common.primitives.SignedBytes","evosuite",180,"GUAVA-181_com.google.common.primitives.SignedBytes_180",7,0
"55","GUAVA-181","com.google.common.primitives.SignedBytes","randoop",60,"GUAVA-181_com.google.common.primitives.SignedBytes_60",5.83057676096124,0.0983173522448684
"56","GUAVA-181","com.google.common.primitives.SignedBytes","randoop",180,"GUAVA-181_com.google.common.primitives.SignedBytes_180",5.8338205587904,0.140768501714955
"57","GUAVA-184","com.google.thirdparty.publicsuffix.PublicSuffixType","evosuite",60,"GUAVA-184_com.google.thirdparty.publicsuffix.PublicSuffixType_60",7,0
"58","GUAVA-184","com.google.thirdparty.publicsuffix.PublicSuffixType","evosuite",180,"GUAVA-184_com.google.thirdparty.publicsuffix.PublicSuffixType_180",7,0
"59","GUAVA-184","com.google.thirdparty.publicsuffix.PublicSuffixType","randoop",60,"GUAVA-184_com.google.thirdparty.publicsuffix.PublicSuffixType_60",6.61156802481937,0.0336608261663653
"60","GUAVA-184","com.google.thirdparty.publicsuffix.PublicSuffixType","randoop",180,"GUAVA-184_com.google.thirdparty.publicsuffix.PublicSuffixType_180",6.88276699816606,0.022643831369265
"61","GUAVA-196","com.google.common.io.Closeables","evosuite",60,"GUAVA-196_com.google.common.io.Closeables_60",5.785000016,0.952205024888139
"62","GUAVA-196","com.google.common.io.Closeables","evosuite",180,"GUAVA-196_com.google.common.io.Closeables_180",5.720000036,1.16313747241387
