tool,benchmark,class,run,preparationTime,generationTime,executionTime,testcaseNumber,uncompilableNumber,brokenTests,failTests,linesTotal,linesCovered,linesCoverageRatio,conditionsTotal,conditionsCovered,conditionsCoverageRatio,mutantsTotal,mutantsCovered,mutantsCoverageRatio,mutantsKilled,mutantsKillRatio,mutantsAlive,timeBudget,totalTestClasses
evosuite,GUAVA-184,com.google.thirdparty.publicsuffix.PublicSuffixType,8,227,41068,844,9,0,0,0,14,14,100.0,8,8,100.0,10,10,100.0,10,100.0,0,60,2
evosuite,FESCAR-2,com.alibaba.fescar.core.service.ServiceManagerStaticConfigImpl,4,223,47065,3956,3,0,0,0,19,6,31.578945,10,0,0.0,7,0,0.0,0,0.0,7,60,2
evosuite,SPOON-253,spoon.pattern.internal.parameter.MapParameterInfo,4,250,59571,27,37,1,0,0,57,0,0.0,32,0,0.0,33,0,0.0,0,0.0,33,60,2
evosuite,FESCAR-5,com.alibaba.fescar.core.protocol.MessageFuture,2,226,44653,1004,13,0,0,0,22,22,100.0,10,10,100.0,13,13,100.0,13,100.0,0,60,2
evosuite,GUAVA-177,com.google.common.primitives.Doubles,6,221,53190,1858,75,0,0,0,104,103,99.03847,58,58,100.0,113,113,100.0,113,100.0,0,60,2
evosuite,FESCAR-7,com.alibaba.fescar.core.rpc.netty.MessageCodecHandler,4,227,55659,9878,17,0,3,0,130,97,74.61539,64,48,75.0,58,50,86.206894,0,0.0,58,60,2
evosuite,FESCAR-6,com.alibaba.fescar.core.rpc.netty.TmRpcClient,8,226,63501,83676,2,0,2,0,179,6,3.3519554,74,2,2.7027028,72,0,0.0,0,0.0,72,60,2
evosuite,PDFBOX-130,org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible.PDVisibleSignDesigner,1,219,59719,58117,16,0,0,0,145,0,0.0,6,0,0.0,75,0,0.0,0,0.0,75,60,2
evosuite,GUAVA-196,com.google.common.io.Closeables,10,222,43090,2762,9,0,0,0,20,16,80.0,4,4,100.0,5,5,100.0,5,100.0,0,60,2
evosuite,FESCAR-17,com.alibaba.fescar.core.protocol.transaction.GlobalBeginResponse,2,236,51110,4139,19,0,0,0,36,35,97.22222,12,12,100.0,17,17,100.0,17,100.0,0,60,2
evosuite,PDFBOX-198,org.apache.pdfbox.pdmodel.fdf.FDFAnnotationLine,6,223,56371,40550,71,0,22,0,144,95,65.97222,82,26,31.707317,92,50,54.347824,0,0.0,92,60,2
evosuite,SPOON-211,spoon.reflect.path.impl.CtRolePathElement,6,240,55060,162114,3,0,0,0,59,11,18.644068,39,3,7.692308,24,5,20.833332,5,20.833332,19,60,2
